Date,Income Type,Amount,Description
03-04-2023,Salary,895.67,Bonus
04-04-2023,Investment,2559.38,Dividends
05-04-2023,Freelance,310.45,Consulting
06-04-2023,Investment,2739.83,Interest
08-04-2023,Other,3870.79,Gift
10-04-2023,Salary,3691.7,Bonus
13-04-2023,Investment,1302.24,Dividends
14-04-2023,Investment,4574.98,Interest
16-04-2023,Other,3543.8,Lottery
19-04-2023,Investment,4559.26,Dividends
20-04-2023,Freelance,324.2,Project payment
27-04-2023,Salary,1875.88,Monthly salary
29-04-2023,Freelance,3188.66,Project payment
05-05-2023,Investment,3132.87,Dividends
15-05-2023,Freelance,1977.59,Project payment
16-05-2023,Freelance,3780.71,Consulting
18-05-2023,Salary,1767.89,Monthly salary
25-05-2023,Other,470.16,Gift
30-05-2023,Salary,4499.15,Monthly salary
01-06-2023,Other,2201.04,Lottery
03-06-2023,Investment,4345.02,Dividends
05-06-2023,Freelance,4117.02,Project payment
11-06-2023,Other,2799.24,Gift
17-06-2023,Freelance,4304.21,Consulting
18-06-2023,Salary,2733.83,Monthly salary
19-06-2023,Freelance,3918.22,Consulting
28-06-2023,Investment,2874.01,Interest
04-07-2023,Investment,3273.85,Dividends
12-07-2023,Freelance,1910.83,Project payment
17-07-2023,Salary,3770.07,Bonus
21-07-2023,Other,3433.49,Lottery
23-07-2023,Investment,1024.01,Interest
26-07-2023,Salary,376.58,Monthly salary
29-07-2023,Investment,3654.09,Dividends
03-08-2023,Other,1651.68,Gift
05-08-2023,Investment,1261.18,Interest
07-08-2023,Freelance,4408.59,Consulting
09-08-2023,Other,1419.53,Lottery
10-08-2023,Freelance,1025.13,Project payment
16-08-2023,Salary,2801.96,Monthly salary
24-08-2023,Investment,942.05,Interest
05-09-2023,Investment,1594.06,Interest
12-09-2023,Freelance,2021.81,Consulting
18-09-2023,Investment,1250.28,Dividends
22-09-2023,Other,4044.05,Lottery
28-09-2023,Freelance,2462.58,Project payment
02-10-2023,Salary,2391.85,Monthly salary
04-10-2023,Freelance,1593.27,Project payment
08-10-2023,Freelance,3820.06,Consulting
14-10-2023,Freelance,3160.51,Project payment
16-10-2023,Investment,2291.73,Dividends
17-10-2023,Other,448.19,Lottery
19-10-2023,Salary,2272.7,Bonus
02-11-2023,Investment,3915.84,Interest
04-11-2023,Freelance,2765.29,Project payment
05-11-2023,Salary,2828.93,Bonus
06-11-2023,Investment,1540.53,Interest
08-11-2023,Investment,2322.75,Dividends
15-11-2023,Investment,1604.57,Dividends
17-11-2023,Other,1813.82,Lottery
06-12-2023,Other,4857.46,Lottery
15-12-2023,Investment,3652.27,Interest
16-12-2023,Other,453.12,Gift
01-01-2024,Freelance,783.89,Consulting
04-01-2024,Other,627.42,Gift
08-01-2024,Salary,2877.73,Monthly salary
11-01-2024,Salary,2772.7,Bonus
13-01-2024,Investment,2370.95,Interest
19-01-2024,Investment,3041.51,Dividends
23-01-2024,Investment,2680.95,Interest
03-02-2024,Other,2987.26,Lottery
04-02-2024,Investment,2478.76,Interest
08-02-2024,Freelance,1415.38,Consulting
13-02-2024,Other,3627.87,Lottery
14-02-2024,Freelance,2577.11,Project payment
16-02-2024,Other,1201.9,Gift
17-02-2024,Salary,3222.38,Bonus
18-02-2024,Investment,1715.24,Dividends
24-02-2024,Other,4073.49,Gift
28-02-2024,Freelance,2644.16,Consulting
01-03-2024,Freelance,4124.02,Consulting
19-03-2024,Investment,3327.18,Interest
21-03-2024,Salary,3017.64,Bonus
23-03-2024,Other,1594.49,Gift
30-03-2024,Other,3136.4,Gift
31-03-2024,Other,2220.19,Gift
06-04-2024,Freelance,1594.95,Project payment
09-04-2024,Freelance,1893.84,Consulting
19-04-2024,Investment,2430.75,Interest
20-04-2024,Salary,4261.07,Monthly salary
24-04-2024,Salary,1860.81,Monthly salary
04-05-2024,Other,4373.32,Lottery
07-05-2024,Investment,4606.92,Dividends
18-05-2024,Other,2377.73,Lottery
23-05-2024,Investment,4311.59,Dividends
27-05-2024,Other,1644.6,Gift
28-05-2024,Investment,4582.32,Dividends
01-06-2024,Other,1528.47,Lottery
07-06-2024,Salary,1290.28,Bonus
09-06-2024,Investment,1350.91,Dividends
12-06-2024,Other,4589.03,Gift
15-06-2024,Salary,4129.17,Monthly salary
19-06-2024,Salary,3945.15,Bonus
22-06-2024,Other,4890.65,Gift
24-06-2024,Other,331.79,Gift
26-06-2024,Freelance,3573.76,Consulting
